#,Title,Brief Description
1,Noise Remover,Build a small audio tool that reduces steady background noise such as fan or hum noise. Compare simple time-domain smoothing with frequency-domain filtering and let the user hear the result.
2,Audio Equalizer,"Create a basic equalizer with low-, mid-, and high-frequency controls. Use the FFT or simple filters to change frequency bands and display the spectrum before and after."
3,Echo and Reverb Studio,Add adjustable echo and simple room-like reverb to a voice or music clip. Model each effect as convolution with a short impulse response.
4,Mini Audio Editor,"Make a simple editor that can trim, join, reverse, scale, and fade audio clips. Show the waveform and include one convolution-based effect such as smoothing or echo."
5,Voice Activity Detector,"Mark the portions of a recording that contain speech and the portions that are silent. Use short-time energy and simple thresholds, with plots that explain each decision."
6,Pitch and Note Detector,Estimate the main pitch of a sung or played note. Compare a time-domain method such as autocorrelation with the largest peak in the frequency spectrum.
7,Beat and Tempo Finder,Estimate the tempo of a short music clip by finding repeated energy peaks. Display the detected beats on the waveform and report beats per minute.
8,DTMF Tone Decoder,Recognize the two tones produced by telephone keypad buttons. Use the DFT or FFT to find the strongest low- and high-frequency components and identify each digit.
9,Morse Code Decoder,"Decode a clean audio recording of Morse code into dots, dashes, and text. Use filtering, envelope detection, and timing thresholds."
10,Sound Template Matcher,"Record a few simple sounds, such as a clap, bell, or tap, and recognize them by comparing short spectra or correlations with saved examples."
11,Audio Speed and Pitch Lab,Let users change playback speed and explore how naive resampling also changes pitch. Add a simple option that changes the sampling rate and clearly demonstrates aliasing.
12,Spectrogram Explorer,Turn a sound clip into a time-frequency image using short overlapping FFT windows. Let the user change window size and observe the trade-off between time and frequency detail.
13,Power Hum Cleaner,Detect and reduce 50 Hz electrical hum and its nearby components in an audio recording. Display the unwanted spectral peak and the cleaned waveform.
14,Simple Audio Compressor,Reduce very loud portions of an audio clip while keeping quiet parts audible. Plot the input-output amplitude rule and compare the waveform before and after.
15,Heartbeat Signal Viewer,"Analyze a recorded or sample pulse/heartbeat signal by smoothing it, finding peaks, and estimating heart rate. Clearly state that it is an educational analyzer, not a medical tool."
16,Step and Motion Analyzer,"Use phone accelerometer data to count steps and study periodic motion. Apply smoothing, peak detection, and a frequency plot to estimate walking pace."
17,Vibration Monitor,Analyze vibration data from a phone or a small sensor. Show dominant frequencies and warn when vibration energy rises above a user-set threshold.
18,Beam Vibration Simulator,Simulate a simple beam or ruler vibrating as a mixture of a few sinusoidal modes. Use Fourier components to show how different modes combine into the observed motion.
19,Room Acoustics Analyzer,Record a clap in a room and estimate its echo delay and decay. Use correlation and a simple impulse-response view to compare two rooms or locations.
20,Sonar Distance Simulator,Simulate sending a short pulse and receiving a delayed echo. Estimate distance from the delay and study how noise and filtering affect the estimate.
21,Image Blur and Sharpen,Apply blur and sharpening kernels to an image using 2D convolution. Let users edit a small kernel and immediately see how it changes the result.
22,Edge Detector,"Find horizontal, vertical, and combined edges using small convolution kernels. Compare several kernels and display both the filtered image and edge strength."
23,Image Noise Cleaner,Add salt-and-pepper or Gaussian-like noise to an image and try simple cleaning filters. Compare the visual result and a basic error measure.
24,Image Frequency Editor,Compute a 2D DFT of an image and let users suppress or keep selected frequency regions. Reconstruct the image and explain how low and high frequencies affect appearance.
25,Image Compression Explorer,Keep only the largest DFT coefficients of an image and reconstruct it. Plot file-size or coefficient-count reduction against reconstruction quality.
26,Image Resizer,Resize an image using nearest-neighbor and linear interpolation. Include anti-aliasing before downsampling and compare the visible differences.
27,Motion Blur Lab,Create motion blur by convolving an image with a line-shaped kernel. Add a limited restoration attempt using a known blur kernel and discuss where it fails.
28,Texture Analyzer,"Compare simple textures such as cloth, brick, or grass using their 2D frequency patterns. Report dominant directions or repeating spacing without using machine learning."
29,2D Convolution Playground,"Create an interactive grid where users draw a tiny image and a kernel, then watch every multiply-and-add step of 2D convolution."
30,Color Channel Analyzer,"Separate an image into red, green, and blue signals and compare their histograms and frequency content. Add simple per-channel smoothing or sharpening."
31,Stripe and Grid Detector,Detect repeated stripes or grid spacing in an image from peaks in its 2D spectrum. Test the method on generated patterns and a few real images.
32,Shape Boundary Analyzer,Extract or accept the boundary points of a simple shape and analyze the x- and y-coordinate signals. Compare shapes using a small set of Fourier descriptors.
33,Signal Sketch and Decompose,Let users draw a one-dimensional signal and approximate it using a selected number of Fourier-series terms. Show each component and the reconstruction error.
34,Convolution Visualizer,"Animate discrete or continuous convolution by flipping, shifting, multiplying, and summing two signals. Include common examples such as pulses and decaying exponentials."
35,LTI System Simulator,"Let users enter an input signal and an impulse response, then compute the output by convolution. Check simple properties such as causality and stability from the impulse response."
36,Filter Design Sandbox,"Build simple low-pass, high-pass, and band-pass filters from adjustable coefficients. Show the impulse response, frequency response, pole-zero plot, and filtered output."
